list,,headword,nonprimary sense,number,lemma,pronunciation,nonstandard_variant,variants,word_class,class_added_manually,type,spoken_words,language_origin,domain,definition,info,example_sentence,etymology,derivative_forms,multi-word_forms,proverb,idiom,definition_type_1,definition_type_2
,,yalusa,,,,,,,noun,,,,,,kulit buah kenari,,,,,,,,Analitical,
,,yame,,,,,,,noun,,,,Awyu,,nyanyian atau lagu yang mengisahkan kegembiraan tentang kenangan indah dan rasa sayang dari kehidupan yang sudah lampau,,,,,,,,Analitical,
,,yamo sabua,,,,,,,noun,,,,,,"rumah adat suku Namblong, atapnya terbuat dari daun sagu dan lantainya dari kulit pohon palem",,,,,,,,Analitical,
,,yang,yes,4,,,,,noun,,shorten form,yes,,,sayang,,,,,,,,Synonym,
,,yangar,,,,,,,noun,,,,,,ramuan tradisional yang terbuat dari perasan kulit batang kayu susu dicampur air lalu diminum untuk menambah nafsu makan,,,,,,,,Analitical,
,,yasu,,,,,,,noun,,,,,,juru bicara raja,,,,,,,,Analitical,
,,yog,,,,,,,verb,,,,Jawa,,"menggoyang (tentang pohon, dahan, ranting, dan tiang)",,,,,,,,Analitical,
,,yoni,,,,,,,noun,,,,,Agama Buddha,"ajaran agama Buddha yang menjelaskan jenis proses kelahiran, seperti kelahiran melalui kandungan, telur, kelembapan, dan spontan",,,,,,,,Analitical,
,,yoso,,,,,,,noun,,,,,,"bubu yang terbuat dari anyaman daun koli, tingginya sekitar 1 m, di dalamnya diletakkan batu untuk menjebak ikan",,,,,,,,Analitical,
,,yts.,,,,,,,noun,,abbreviation,,,,yang tersayang,,,,,,,,Abbreviation Expansion,
,,zeugma,,,,,,,noun,,,,,,"majas retoris berupa penggunaan satu kata untuk dua hal yang berbeda, misalnya bunuhlah anak itu dan kopornya",,,,,,,,Analitical,
